Species,Core ID,Site,Depth (ft),Tissue (mm)
DLAB,DLAB1,threehill,13,9
DLAB,DLAB2,threehill,15,9
DLAB,DLAB3,threehill,13,6
DLAB,DLAB4,whalebone,12,9
DLAB,DLAB5,whalebone,11,9
DLAB,DLAB6,whalebone,11,9
OFRA,OFRA1,whalebone,9,5.5
OFRA,OFRA2,whalebone,8,5.5
OFRA,OFRA3,whalebone,8,4
PSTR,PSTR1,whalebone,11,10
PSTR,PSTR2,whalebone,10,10
DLAB,DLAB7,hogreef,18,8.5
DLAB,DLAB8,hogreef,19,8
DLAB,DLAB9,hogreef,17,6
PSTR,PSTR3,hogreef,20,8
PSTR,PSTR4,hogreef,19,9
PSTR,PSTR5,hogreef,18,7
OFRA,OFRA4,hogreef,18,4.5
OFRA,OFRA5,hogreef,20,5
OFRA,OFRA6,hogreef,19,4
PSTR,PSTR6,threehill,10,9
PSTR,PSTR7,threehill,10,8.5
PSTR,PSTR8,threehill,12,10.1
OFRA,OFRA7,threehill,16,6
OFRA,OFRA8,threehill,13,5
OFRA,OFRA9,threehill,13,5
PSTR,PSTR9,whalebone,12,8.5
DLAB,DLAB10,halfway,12,8
DLAB,DLAB11,halfway,7,9
DLAB,DLAB12,halfway,9,8
OFRA,OFRA10,halfway,7,6
OFRA,OFRA11,halfway,6,4.5
OFRA,OFRA12,halfway,5,6
DLAB,DLAB13,gurnet,19,8
DLAB,DLAB14,gurnet,16,9
DLAB,DLAB15,gurnet,15,8.5
PSTR,PSTR10,gurnet,25,8
PSTR,PSTR11,gurnet,26,10
PSTR,PSTR12,gurnet,25,9
OFRA,OFRA13,gurnet,25,4.5
OFRA,OFRA14,gurnet,26,5
OFRA,OFRA15,gurnet,24,4